goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalFloat32/marshal-20               	15546072	        70.91 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	17537850	        72.84 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	16047304	        73.40 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13475378	        93.86 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	11663377	       100.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13175994	        94.81 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	12728686	        92.69 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13037724	        92.03 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	14040349	        93.35 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	13269831	        93.13 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	10729432	        96.45 ns/op	      24 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	13036458	        99.85 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	14106158	       101.6 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	20547907	        65.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	22929109	        55.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	21909679	        56.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	18324668	        60.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	17716657	        65.45 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	15298330	        69.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	17051386	        69.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	17302748	        68.86 ns/op	       0 B/op	       0 allocs/op
