goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalIntSlice/encoding_json-20        	 3543688	       305.5 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 3632031	       299.7 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 3791010	       328.5 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 3743895	       289.4 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4854187	       235.2 ns/op	     128 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 5225514	       236.8 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4561352	       262.6 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4987878	       258.5 ns/op	     128 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 5013984	       266.1 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7687642	       149.1 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7138471	       156.9 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 8192901	       154.3 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7231146	       161.1 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7821909	       172.6 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	30547377	        37.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	31322598	        37.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	32056623	        37.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	32168944	        37.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	31806103	        37.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal-20               	16276938	        74.47 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	17140971	        79.29 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	17520434	        70.86 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	17413210	        72.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	16520948	        73.85 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13709816	        94.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13175565	        93.25 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13521526	        93.45 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	12186146	        92.11 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/encoding_json-20         	13382179	        92.75 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	13663436	        88.29 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	13522176	        92.09 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	11412616	        94.69 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	12550531	        92.70 ns/op	      25 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_json-20            	11823913	        95.21 ns/op	      24 B/op	       2 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	18394239	        64.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	20863910	        60.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	21659326	        61.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	18886551	        67.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat32/sonic_encode_into-20     	19389013	        61.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	16107405	        69.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	17040480	        69.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	17422590	        69.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	15857960	        69.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	17433433	        68.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal-20               	10663898	       123.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	 9549517	       123.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	 9292291	       115.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	10071830	       118.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	10940269	       113.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8372695	       142.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8493938	       139.6 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8510335	       152.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8399652	       147.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 7685871	       144.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	10430779	       110.4 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	 8403381	       120.3 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	11608749	       126.8 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	11759466	       130.7 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	 8427546	       141.2 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	14827904	        79.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	14366256	        81.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	15134953	        76.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	12782859	        81.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	17092382	        72.15 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4165162	       283.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4119141	       284.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 3938968	       287.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4228916	       282.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal_append-20         	 4229505	       282.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2340728	       500.1 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2513254	       501.4 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2480364	       501.0 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2414509	       506.4 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/marshal-20                	 2416234	       487.1 ns/op	     240 B/op	       1 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1210348	       989.4 ns/op	     464 B/op	       7 allocs/op
